name, order, depencies, score
Spock, 1773, 84, 3
Spock-api-server, 1774, 78, 1
wai-middleware-verbs, 1775, 115, 1
hw-succinct, 1776, 71, 1
rest-core, 1777, 60, 5
fay-jquery, 1778, 64, 1
clash-lib, 1779, 79, 4
http-conduit, 1780, 69, 153
wreq, 1781, 94, 9
servant-client, 1782, 75, 5
ratel, 1783, 65, 2
consul-haskell, 1784, 80, 2
pipes-http, 1785, 54, 2
imm, 1786, 145, 1
monad-http, 1787, 76, 1
bitx-bitcoin, 1788, 66, 1
nationstates, 1789, 55, 1
hailgun, 1790, 64, 1
octane, 1791, 68, 1
werewolf-slack, 1792, 110, 1
hackmanager, 1793, 62, 1
opensource, 1794, 62, 1
morte, 1795, 71, 1
libinfluxdb, 1796, 58, 1
koofr-client, 1797, 62, 1
soap-tls, 1798, 78, 1
hopenpgp-tools, 1799, 127, 1
kraken, 1800, 62, 1
google-cloud, 1801, 62, 1
strive, 1802, 68, 1
mandrill, 1803, 82, 1
pinboard, 1804, 78, 1
DAV, 1805, 101, 1
irc-conduit, 1806, 70, 3
gi-gio, 1807, 58, 18
gi-pango, 1808, 58, 7
gi-atk, 1809, 58, 4
rasterific-svg, 1810, 58, 2
diagrams-lib, 1811, 64, 17
units-defs, 1812, 60, 1
servant-swagger, 1813, 78, 2
solga-swagger, 1814, 87, 1
aeson-injector, 1815, 69, 1
cabal2nix, 1816, 75, 1
yesod-form, 1817, 118, 25
servant-subscriber, 1818, 121, 2
servant-JuicyPixels, 1819, 96, 1
servant-js, 1820, 111, 1
servant-mock, 1821, 96, 1
servant-auth-cookie, 1822, 101, 1
blank-canvas, 1823, 87, 2
Spock-worker, 1824, 88, 1
Spock-lucid, 1825, 86, 1
rest-gen, 1826, 76, 2
rest-wai, 1827, 68, 1
clash-verilog, 1828, 80, 1
clash-vhdl, 1829, 80, 1
clash-systemverilog, 1830, 80, 1
amazonka-core, 1831, 94, 78
authenticate, 1832, 79, 21
fb, 1833, 86, 2
aws, 1834, 82, 2
hoauth2, 1835, 87, 2
MusicBrainz, 1836, 81, 1
simple-download, 1837, 80, 1
twitter-conduit, 1838, 99, 1
holy-project, 1839, 108, 1
cabal-src, 1840, 77, 1
keter, 1841, 114, 1
hoogle, 1842, 107, 1
mime-mail-ses, 1843, 80, 1
haskell-neo4j-client, 1844, 77, 1
yesod-bin, 1845, 112, 1
twitter-feed, 1846, 81, 1
BlastHTTP, 1847, 84, 1
kawhi, 1848, 71, 1
stack, 1849, 154, 1
etcd, 1850, 70, 1
cayley-client, 1851, 87, 1
rest-client, 1852, 95, 1
gogol, 1853, 98, 1
quantum-random, 1854, 75, 1
atndapi, 1855, 82, 1
package-description-remote, 1856, 96, 3
bitcoin-api, 1857, 102, 2
scrape-changes, 1858, 104, 1
handwriting, 1859, 96, 1
language-puppet, 1860, 134, 1
smsaero, 1861, 95, 1
giphy-api, 1862, 78, 1
yahoo-finance-api, 1863, 93, 1
ratel-wai, 1864, 69, 1
wai-middleware-consul, 1865, 119, 1
purescript, 1866, 123, 1
irc-client, 1867, 87, 2
gi-gdkpixbuf, 1868, 59, 8
gi-soup, 1869, 59, 2
asciidiagram, 1870, 59, 1
SVGFonts, 1871, 74, 2
diagrams-contrib, 1872, 77, 2
diagrams-postscript, 1873, 68, 2
diagrams-svg, 1874, 71, 2
diagrams-cairo, 1875, 71, 2
diagrams-rasterific, 1876, 72, 1
diagrams-html5, 1877, 71, 1
servant-swagger-ui, 1878, 124, 1
yesod-fay, 1879, 153, 1
yackage, 1880, 124, 1
yesod-form-richtext, 1881, 119, 1
servant-purescript, 1882, 124, 1
diagrams-canvas, 1883, 118, 1
rest-happstack, 1884, 93, 1
amazonka, 1885, 97, 3
amazonka-s3, 1886, 95, 2
amazonka-ses, 1887, 95, 2
amazonka-sqs, 1888, 95, 1
amazonka-test, 1889, 113, 1
amazonka-codedeploy, 1890, 95, 1
amazonka-iot, 1891, 95, 1
amazonka-sns, 1892, 95, 1
amazonka-devicefarm, 1893, 95, 1
amazonka-codecommit, 1894, 95, 1
amazonka-elb, 1895, 95, 1
amazonka-iot-dataplane, 1896, 95, 1
amazonka-elastictranscoder, 1897, 95, 1
amazonka-ssm, 1898, 95, 1
amazonka-datapipeline, 1899, 95, 1
amazonka-inspector, 1900, 95, 1
amazonka-workspaces, 1901, 95, 1
amazonka-ecs, 1902, 95, 1
amazonka-ecr, 1903, 95, 1
amazonka-opsworks, 1904, 95, 1
amazonka-elasticsearch, 1905, 95, 1
amazonka-ec2, 1906, 95, 1
amazonka-emr, 1907, 95, 1
amazonka-rds, 1908, 95, 1
amazonka-sts, 1909, 95, 1
amazonka-cloudwatch, 1910, 95, 1
amazonka-kinesis, 1911, 95, 1
amazonka-cognito-identity, 1912, 95, 1
amazonka-cloudsearch, 1913, 95, 1
amazonka-marketplace-analytics, 1914, 95, 1
amazonka-sdb, 1915, 95, 1
amazonka-config, 1916, 95, 1
amazonka-dynamodb-streams, 1917, 95, 1
amazonka-ds, 1918, 95, 1
amazonka-apigateway, 1919, 95, 1
amazonka-efs, 1920, 95, 1
amazonka-cloudfront, 1921, 95, 1
amazonka-swf, 1922, 95, 1
amazonka-iam, 1923, 95, 1
amazonka-route53-domains, 1924, 95, 1
amazonka-cognito-sync, 1925, 95, 1
amazonka-codepipeline, 1926, 95, 1
amazonka-lambda, 1927, 95, 1
amazonka-dms, 1928, 95, 1
amazonka-elasticache, 1929, 95, 1
amazonka-gamelift, 1930, 95, 1
amazonka-autoscaling, 1931, 95, 1
amazonka-cloudwatch-logs, 1932, 95, 1
amazonka-application-autoscaling, 1933, 95, 1
amazonka-storagegateway, 1934, 95, 1
amazonka-marketplace-metering, 1935, 95, 1
amazonka-elasticbeanstalk, 1936, 95, 1
amazonka-cloudwatch-events, 1937, 95, 1
amazonka-redshift, 1938, 95, 1
amazonka-cloudhsm, 1939, 95, 1
amazonka-importexport, 1940, 95, 1
amazonka-cloudformation, 1941, 95, 1
amazonka-cloudtrail, 1942, 95, 1
amazonka-discovery, 1943, 95, 1
amazonka-directconnect, 1944, 95, 1
amazonka-glacier, 1945, 95, 1
amazonka-route53, 1946, 95, 1
amazonka-dynamodb, 1947, 95, 1
amazonka-waf, 1948, 95, 1
amazonka-kinesis-firehose, 1949, 95, 1
amazonka-cloudsearch-domains, 1950, 95, 1
amazonka-certificatemanager, 1951, 95, 1
amazonka-kms, 1952, 95, 1
amazonka-cognito-idp, 1953, 95, 1
amazonka-ml, 1954, 95, 1
amazonka-support, 1955, 95, 1
yesod-auth, 1956, 145, 11
happstack-authenticate, 1957, 147, 7
wai-middleware-crowd, 1958, 121, 1
yesod-fb, 1959, 125, 1
hackage-mirror, 1960, 106, 1
extract-dependencies, 1961, 97, 2
bitcoin-api-extra, 1962, 122, 1
xdcc, 1963, 113, 1
gi-gdk, 1964, 62, 4
diagrams, 1965, 78, 1
Chart-diagrams, 1966, 85, 1
diagrams-gtk, 1967, 73, 1
stackage-curator, 1968, 164, 1
hworker-ses, 1969, 107, 1
yesod, 1970, 148, 7
yesod-auth-account, 1971, 147, 1
yesod-auth-hashdb, 1972, 147, 1
clckwrks, 1973, 163, 5
stack-run-auto, 1974, 116, 1
gi-gtk, 1975, 64, 2
classy-prelude-yesod, 1976, 187, 2
yesod-auth-oauth2, 1977, 151, 1
yesod-static-angular, 1978, 158, 1
yesod-auth-basic, 1979, 149, 1
clckwrks-cli, 1980, 165, 1
clckwrks-theme-bootstrap, 1981, 164, 1
clckwrks-plugin-page, 1982, 166, 1
clckwrks-plugin-media, 1983, 166, 1
gi-webkit, 1984, 67, 1
yesod-job-queue, 1985, 203, 1
