name, order, depencies, score
hashmap, 490, 6, 1
hashable-time, 491, 6, 1
HsOpenSSL, 492, 7, 16
hslogger, 493, 8, 91
sendfile, 494, 6, 80
simple-sendfile, 495, 6, 197
pcap, 496, 7, 2
splice, 497, 6, 2
hsdns, 498, 7, 1
pem, 499, 8, 5588
prometheus-client, 500, 13, 3
LibZip, 501, 12, 1
url, 502, 6, 1
securemem, 503, 7, 861
zlib-bindings, 504, 6, 30
hlibgit2, 505, 7, 3
cryptohash, 506, 8, 94
scrypt, 507, 7, 1
crypto-random-api, 508, 6, 1
Win32-extras, 509, 6, 1
iproute, 510, 9, 384
text, 511, 7, 60187
JuicyPixels, 512, 12, 44
data-binary-ieee754, 513, 7, 19
constraints, 514, 11, 22
network-transport, 515, 9, 5
vector-binary-instances, 516, 10, 16
largeword, 517, 7, 10
bmp, 518, 7, 5
unix-time, 519, 9, 4
pointedlist, 520, 7, 7
bytestring-trie, 521, 7, 3
rank1dynamic, 522, 7, 2
word-trie, 523, 7, 3
binary-bits, 524, 7, 2
binary-typed, 525, 8, 1
ghc-events, 526, 9, 1
timezone-olson, 527, 10, 1
binary-list, 528, 9, 1
byteset, 529, 7, 1
Octree, 530, 7, 4
quickcheck-io, 531, 7, 28
quickcheck-arbitrary-adt, 532, 6, 4
carray, 533, 9, 4
permutation, 534, 6, 3
EdisonCore, 535, 9, 2
point-octree, 536, 7, 1
quickcheck-simple, 537, 6, 1
digits, 538, 6, 1
alex, 539, 6, 1
fgl-arbitrary, 540, 8, 1
quickcheck-unicode, 541, 6, 1
doctest-prop, 542, 7, 1
quickcheck-assertions, 543, 7, 1
crypto-api, 544, 10, 291
socks, 545, 8, 221
murmur3, 546, 7, 3
messagepack, 547, 7, 2
cereal-vector, 548, 10, 1
xenstore, 549, 10, 1
monad-parallel, 550, 8, 7
integration, 551, 6, 1
lexer-applicative, 552, 8, 2
universe-reverse-instances, 553, 7, 3
universe-instances-trans, 554, 9, 2
clumpiness, 555, 8, 2
lens-family, 556, 8, 15
process, 557, 7, 4875
haskeline, 558, 10, 15
tar, 559, 8, 17
Glob, 560, 11, 17
SHA, 561, 10, 62
cpphs, 562, 10, 132
xdg-basedir, 563, 7, 205
filemanip, 564, 11, 7
hpc, 565, 8, 4
directory-tree, 566, 7, 5
ghc-boot, 567, 11, 3
hspec-discover, 568, 7, 16
silently, 569, 7, 158
